[DEBUG] Pre-Prop: use_asm=True, z_ray=118.55066617319974, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048605735256286223, z_w0=-0.1950462062742148
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048629152686794713, z_w0=1.0223909796290347
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048629152686794713, z_w0=1.0223909796290347
[DEBUG] Pre-Prop: use_asm=True, z_ray=118.55066617319974, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048605735256286223, z_w0=-0.1950462062742148
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048629152686794713, z_w0=1.0223909796290347
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.00048629152686794713, z_w0=1.0223909796290347
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=3.141592653589793, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=248.31573511926842, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=248.31573511926842, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=True, z_ray=248.31573511926842, z_w0=0.0
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0035282184504929885, z_w0=2.354838860070216
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100063
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100065
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100065
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100065
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100065
[DEBUG] Pre-Prop: use_asm=True, z_ray=76.64065898742857, z_w0=1.1658046416100065
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007439073774553246, z_w0=8.458907448365354
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
[DEBUG] Pre-Prop: use_asm=False, z_ray=0.0007442823207296531, z_w0=9.676108119019805
