Listing of POP Phase Cross-Section Data

File : D:\BTS\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 5.91207E-02, Y = 5.91207E-02 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -5.120000E-02	  2.427794E+00
 -5.115000E-02	  2.459781E+00
 -5.110000E-02	  2.491737E+00
 -5.105000E-02	  2.523662E+00
 -5.100000E-02	  2.555557E+00
 -5.095000E-02	  2.587420E+00
 -5.090000E-02	  2.619252E+00
 -5.085000E-02	  2.651054E+00
 -5.080000E-02	  2.682825E+00
 -5.075000E-02	  2.714564E+00
 -5.070000E-02	  2.746273E+00
 -5.065000E-02	  2.777951E+00
 -5.060000E-02	  2.809598E+00
 -5.055000E-02	  2.841213E+00
 -5.050000E-02	  2.872798E+00
 -5.045000E-02	  2.904352E+00
 -5.040000E-02	  2.935875E+00
 -5.035000E-02	  2.967368E+00
 -5.030000E-02	  2.998829E+00
 -5.025000E-02	  3.030259E+00
 -5.020000E-02	  3.061658E+00
 -5.015000E-02	  3.093027E+00
 -5.010000E-02	  3.124364E+00
 -5.005000E-02	 -3.127515E+00
 -5.000000E-02	 -3.096239E+00
 -4.995000E-02	 -3.064995E+00
 -4.990000E-02	 -3.033781E+00
 -4.985000E-02	 -3.002598E+00
 -4.980000E-02	 -2.971447E+00
 -4.975000E-02	 -2.940326E+00
 -4.970000E-02	 -2.909236E+00
 -4.965000E-02	 -2.878177E+00
 -4.960000E-02	 -2.847149E+00
 -4.955000E-02	 -2.816153E+00
 -4.950000E-02	 -2.785187E+00
 -4.945000E-02	 -2.754252E+00
 -4.940000E-02	 -2.723348E+00
 -4.935000E-02	 -2.692474E+00
 -4.930000E-02	 -2.661632E+00
 -4.925000E-02	 -2.630821E+00
 -4.920000E-02	 -2.600041E+00
 -4.915000E-02	 -2.569292E+00
 -4.910000E-02	 -2.538573E+00
 -4.905000E-02	 -2.507886E+00
 -4.900000E-02	 -2.477230E+00
 -4.895000E-02	 -2.446605E+00
 -4.890000E-02	 -2.416010E+00
 -4.885000E-02	 -2.385447E+00
 -4.880000E-02	 -2.354914E+00
 -4.875000E-02	 -2.324413E+00
 -4.870000E-02	 -2.293942E+00
 -4.865000E-02	 -2.263503E+00
 -4.860000E-02	 -2.233094E+00
 -4.855000E-02	 -2.202717E+00
 -4.850000E-02	 -2.172370E+00
 -4.845000E-02	 -2.142054E+00
 -4.840000E-02	 -2.111770E+00
 -4.835000E-02	 -2.081516E+00
 -4.830000E-02	 -2.051293E+00
 -4.825000E-02	 -2.021102E+00
 -4.820000E-02	 -1.990941E+00
 -4.815000E-02	 -1.960811E+00
 -4.810000E-02	 -1.930713E+00
 -4.805000E-02	 -1.900645E+00
 -4.800000E-02	 -1.870608E+00
 -4.795000E-02	 -1.840602E+00
 -4.790000E-02	 -1.810627E+00
 -4.785000E-02	 -1.780684E+00
 -4.780000E-02	 -1.750771E+00
 -4.775000E-02	 -1.720889E+00
 -4.770000E-02	 -1.691038E+00
 -4.765000E-02	 -1.661218E+00
 -4.760000E-02	 -1.631429E+00
 -4.755000E-02	 -1.601672E+00
 -4.750000E-02	 -1.571945E+00
 -4.745000E-02	 -1.542249E+00
 -4.740000E-02	 -1.512584E+00
 -4.735000E-02	 -1.482950E+00
 -4.730000E-02	 -1.453347E+00
 -4.725000E-02	 -1.423775E+00
 -4.720000E-02	 -1.394234E+00
 -4.715000E-02	 -1.364724E+00
 -4.710000E-02	 -1.335246E+00
 -4.705000E-02	 -1.305798E+00
 -4.700000E-02	 -1.276381E+00
 -4.695000E-02	 -1.246995E+00
 -4.690000E-02	 -1.217640E+00
 -4.685000E-02	 -1.188316E+00
 -4.680000E-02	 -1.159023E+00
 -4.675000E-02	 -1.129762E+00
 -4.670000E-02	 -1.100531E+00
 -4.665000E-02	 -1.071331E+00
 -4.660000E-02	 -1.042162E+00
 -4.655000E-02	 -1.013024E+00
 -4.650000E-02	 -9.839174E-01
 -4.645000E-02	 -9.548416E-01
 -4.640000E-02	 -9.257968E-01
 -4.635000E-02	 -8.967831E-01
 -4.630000E-02	 -8.678003E-01
 -4.625000E-02	 -8.388486E-01
 -4.620000E-02	 -8.099279E-01
 -4.615000E-02	 -7.810382E-01
 -4.610000E-02	 -7.521796E-01
 -4.605000E-02	 -7.233519E-01
 -4.600000E-02	 -6.945553E-01
 -4.595000E-02	 -6.657897E-01
 -4.590000E-02	 -6.370551E-01
 -4.585000E-02	 -6.083515E-01
 -4.580000E-02	 -5.796790E-01
 -4.575000E-02	 -5.510374E-01
 -4.570000E-02	 -5.224269E-01
 -4.565000E-02	 -4.938475E-01
 -4.560000E-02	 -4.652990E-01
 -4.555000E-02	 -4.367816E-01
 -4.550000E-02	 -4.082953E-01
 -4.545000E-02	 -3.798399E-01
 -4.540000E-02	 -3.514156E-01
 -4.535000E-02	 -3.230223E-01
 -4.530000E-02	 -2.946600E-01
 -4.525000E-02	 -2.663288E-01
 -4.520000E-02	 -2.380286E-01
 -4.515000E-02	 -2.097595E-01
 -4.510000E-02	 -1.815213E-01
 -4.505000E-02	 -1.533143E-01
 -4.500000E-02	 -1.251382E-01
 -4.495000E-02	 -9.699321E-02
 -4.490000E-02	 -6.887924E-02
 -4.485000E-02	 -4.079631E-02
 -4.480000E-02	 -1.274442E-02
 -4.475000E-02	  1.527643E-02
 -4.470000E-02	  4.326623E-02
 -4.465000E-02	  7.122499E-02
 -4.460000E-02	  9.915271E-02
 -4.455000E-02	  1.270494E-01
 -4.450000E-02	  1.549150E-01
 -4.445000E-02	  1.827496E-01
 -4.440000E-02	  2.105531E-01
 -4.435000E-02	  2.383256E-01
 -4.430000E-02	  2.660671E-01
 -4.425000E-02	  2.937774E-01
