Listing of POP Phase Cross-Section Data

File : D:\BTS\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.63395E-01, Y = 1.63395E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -2.560000E-01	  1.580755E+00
 -2.557500E-01	  1.580755E+00
 -2.555000E-01	  1.580755E+00
 -2.552500E-01	  1.580754E+00
 -2.550000E-01	  1.580753E+00
 -2.547500E-01	  1.580752E+00
 -2.545000E-01	  1.580750E+00
 -2.542500E-01	  1.580749E+00
 -2.540000E-01	  1.580746E+00
 -2.537500E-01	  1.580744E+00
 -2.535000E-01	  1.580741E+00
 -2.532500E-01	  1.580738E+00
 -2.530000E-01	  1.580735E+00
 -2.527500E-01	  1.580731E+00
 -2.525000E-01	  1.580728E+00
 -2.522500E-01	  1.580723E+00
 -2.520000E-01	  1.580719E+00
 -2.517500E-01	  1.580714E+00
 -2.515000E-01	  1.580709E+00
 -2.512500E-01	  1.580704E+00
 -2.510000E-01	  1.580698E+00
 -2.507500E-01	  1.580692E+00
 -2.505000E-01	  1.580686E+00
 -2.502500E-01	  1.580680E+00
 -2.500000E-01	  1.580673E+00
 -2.497500E-01	  1.580666E+00
 -2.495000E-01	  1.580659E+00
 -2.492500E-01	  1.580651E+00
 -2.490000E-01	  1.580643E+00
 -2.487500E-01	  1.580635E+00
 -2.485000E-01	  1.580627E+00
 -2.482500E-01	  1.580618E+00
 -2.480000E-01	  1.580609E+00
 -2.477500E-01	  1.580600E+00
 -2.475000E-01	  1.580591E+00
 -2.472500E-01	  1.580581E+00
 -2.470000E-01	  1.580571E+00
 -2.467500E-01	  1.580561E+00
 -2.465000E-01	  1.580550E+00
 -2.462500E-01	  1.580539E+00
 -2.460000E-01	  1.580528E+00
 -2.457500E-01	  1.580517E+00
 -2.455000E-01	  1.580505E+00
 -2.452500E-01	  1.580493E+00
 -2.450000E-01	  1.580481E+00
 -2.447500E-01	  1.580469E+00
 -2.445000E-01	  1.580456E+00
 -2.442500E-01	  1.580443E+00
 -2.440000E-01	  1.580430E+00
 -2.437500E-01	  1.580417E+00
 -2.435000E-01	  1.580403E+00
 -2.432500E-01	  1.580389E+00
 -2.430000E-01	  1.580375E+00
 -2.427500E-01	  1.580360E+00
 -2.425000E-01	  1.580346E+00
 -2.422500E-01	  1.580331E+00
 -2.420000E-01	  1.580316E+00
 -2.417500E-01	  1.580300E+00
 -2.415000E-01	  1.580285E+00
 -2.412500E-01	  1.580269E+00
 -2.410000E-01	  1.580253E+00
 -2.407500E-01	  1.580236E+00
 -2.405000E-01	  1.580220E+00
 -2.402500E-01	  1.580203E+00
 -2.400000E-01	  1.580186E+00
 -2.397500E-01	  1.580168E+00
 -2.395000E-01	  1.580151E+00
 -2.392500E-01	  1.580133E+00
 -2.390000E-01	  1.580115E+00
 -2.387500E-01	  1.580097E+00
 -2.385000E-01	  1.580079E+00
 -2.382500E-01	  1.580060E+00
 -2.380000E-01	  1.580041E+00
 -2.377500E-01	  1.580022E+00
 -2.375000E-01	  1.580003E+00
 -2.372500E-01	  1.579983E+00
 -2.370000E-01	  1.579964E+00
 -2.367500E-01	  1.579944E+00
 -2.365000E-01	  1.579924E+00
 -2.362500E-01	  1.579903E+00
 -2.360000E-01	  1.579883E+00
 -2.357500E-01	  1.579862E+00
 -2.355000E-01	  1.579841E+00
 -2.352500E-01	  1.579820E+00
 -2.350000E-01	  1.579799E+00
 -2.347500E-01	  1.579777E+00
 -2.345000E-01	  1.579755E+00
 -2.342500E-01	  1.579734E+00
 -2.340000E-01	  1.579712E+00
 -2.337500E-01	  1.579689E+00
 -2.335000E-01	  1.579667E+00
 -2.332500E-01	  1.579644E+00
 -2.330000E-01	  1.579621E+00
 -2.327500E-01	  1.579598E+00
 -2.325000E-01	  1.579575E+00
 -2.322500E-01	  1.579552E+00
 -2.320000E-01	  1.579529E+00
 -2.317500E-01	  1.579505E+00
 -2.315000E-01	  1.579481E+00
 -2.312500E-01	  1.579457E+00
 -2.310000E-01	  1.579433E+00
 -2.307500E-01	  1.579409E+00
 -2.305000E-01	  1.579384E+00
 -2.302500E-01	  1.579360E+00
 -2.300000E-01	  1.579335E+00
 -2.297500E-01	  1.579310E+00
 -2.295000E-01	  1.579285E+00
