Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17923E-01, Y = 1.17923E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	  2.569856E-01
 -1.023000E-01	  2.594493E-01
 -1.022000E-01	  2.619108E-01
 -1.021000E-01	  2.643702E-01
 -1.020000E-01	  2.668275E-01
 -1.019000E-01	  2.692827E-01
 -1.018000E-01	  2.717358E-01
 -1.017000E-01	  2.741867E-01
 -1.016000E-01	  2.766356E-01
 -1.015000E-01	  2.790823E-01
 -1.014000E-01	  2.815269E-01
 -1.013000E-01	  2.839693E-01
 -1.012000E-01	  2.864096E-01
 -1.011000E-01	  2.888479E-01
 -1.010000E-01	  2.912839E-01
 -1.009000E-01	  2.937179E-01
 -1.008000E-01	  2.961497E-01
 -1.007000E-01	  2.985794E-01
 -1.006000E-01	  3.010070E-01
 -1.005000E-01	  3.034324E-01
 -1.004000E-01	  3.058558E-01
 -1.003000E-01	  3.082769E-01
 -1.002000E-01	  3.106960E-01
 -1.001000E-01	  3.131129E-01
 -9.999997E-02	  3.155277E-01
 -9.989997E-02	  3.179404E-01
 -9.979997E-02	  3.203509E-01
 -9.969997E-02	  3.227593E-01
 -9.959997E-02	  3.251655E-01
 -9.949997E-02	  3.275696E-01
 -9.939997E-02	  3.299716E-01
 -9.929997E-02	  3.323714E-01
 -9.919997E-02	  3.347691E-01
 -9.909997E-02	  3.371646E-01
 -9.899997E-02	  3.395581E-01
 -9.889997E-02	  3.419493E-01
 -9.879997E-02	  3.443384E-01
 -9.869997E-02	  3.467254E-01
 -9.859997E-02	  3.491103E-01
 -9.849997E-02	  3.514930E-01
 -9.839997E-02	  3.538735E-01
 -9.829997E-02	  3.562519E-01
 -9.819997E-02	  3.586282E-01
 -9.809997E-02	  3.610023E-01
 -9.799997E-02	  3.633742E-01
 -9.789997E-02	  3.657440E-01
 -9.779997E-02	  3.681117E-01
 -9.769997E-02	  3.704772E-01
 -9.759997E-02	  3.728405E-01
 -9.749997E-02	  3.752017E-01
 -9.739997E-02	  3.775608E-01
 -9.729997E-02	  3.799177E-01
 -9.719997E-02	  3.822724E-01
 -9.709997E-02	  3.846250E-01
 -9.699997E-02	  3.869754E-01
 -9.689997E-02	  3.893237E-01
 -9.679997E-02	  3.916698E-01
 -9.669997E-02	  3.940138E-01
 -9.659997E-02	  3.963556E-01
 -9.649997E-02	  3.986952E-01
 -9.639997E-02	  4.010327E-01
 -9.629997E-02	  4.033680E-01
 -9.619997E-02	  4.057011E-01
 -9.609997E-02	  4.080321E-01
 -9.599997E-02	  4.103609E-01
 -9.589997E-02	  4.126876E-01
 -9.579997E-02	  4.150121E-01
 -9.569997E-02	  4.173344E-01
 -9.559997E-02	  4.196545E-01
 -9.549997E-02	  4.219725E-01
 -9.539997E-02	  4.242883E-01
 -9.529997E-02	  4.266020E-01
 -9.519997E-02	  4.289135E-01
 -9.509997E-02	  4.312228E-01
 -9.499997E-02	  4.335299E-01
 -9.489997E-02	  4.358349E-01
 -9.479997E-02	  4.381377E-01
 -9.469997E-02	  4.404383E-01
 -9.459997E-02	  4.427367E-01
 -9.449998E-02	  4.450330E-01
 -9.439998E-02	  4.473271E-01
 -9.429998E-02	  4.496190E-01
 -9.419998E-02	  4.519087E-01
 -9.409998E-02	  4.541963E-01
 -9.399998E-02	  4.564817E-01
 -9.389998E-02	  4.587649E-01
 -9.379998E-02	  4.610459E-01
 -9.369998E-02	  4.633247E-01
 -9.359998E-02	  4.656014E-01
 -9.349998E-02	  4.678758E-01
 -9.339998E-02	  4.701481E-01
 -9.329998E-02	  4.724182E-01
 -9.319998E-02	  4.746861E-01
 -9.309998E-02	  4.769519E-01
 -9.299998E-02	  4.792154E-01
 -9.289998E-02	  4.814768E-01
 -9.279998E-02	  4.837359E-01
 -9.269998E-02	  4.859929E-01
 -9.259998E-02	  4.882477E-01
 -9.249998E-02	  4.905003E-01
 -9.239998E-02	  4.927507E-01
 -9.229998E-02	  4.949989E-01
 -9.219998E-02	  4.972450E-01
 -9.209998E-02	  4.994888E-01
 -9.199998E-02	  5.017304E-01
 -9.189998E-02	  5.039699E-01
 -9.179998E-02	  5.062071E-01
 -9.169998E-02	  5.084422E-01
 -9.159998E-02	  5.106750E-01
 -9.149998E-02	  5.129057E-01
 -9.139998E-02	  5.151341E-01
 -9.129998E-02	  5.173604E-01
