Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 3 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.17870E-01, Y = 1.17870E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.024000E-01	  1.570795E+00
 -1.023000E-01	  1.570795E+00
 -1.022000E-01	  1.570795E+00
 -1.021000E-01	  1.570795E+00
 -1.020000E-01	  1.570795E+00
 -1.019000E-01	  1.570795E+00
 -1.018000E-01	  1.570795E+00
 -1.017000E-01	  1.570795E+00
 -1.016000E-01	  1.570795E+00
 -1.015000E-01	  1.570795E+00
 -1.014000E-01	  1.570795E+00
 -1.013000E-01	  1.570795E+00
 -1.012000E-01	  1.570795E+00
 -1.011000E-01	  1.570795E+00
 -1.010000E-01	  1.570795E+00
 -1.009000E-01	  1.570795E+00
 -1.008000E-01	  1.570795E+00
 -1.007000E-01	  1.570795E+00
 -1.006000E-01	  1.570795E+00
 -1.005000E-01	  1.570795E+00
 -1.004000E-01	  1.570795E+00
 -1.003000E-01	  1.570795E+00
 -1.002000E-01	  1.570795E+00
 -1.001000E-01	  1.570795E+00
 -1.000000E-01	  1.570795E+00
 -9.990000E-02	  1.570795E+00
 -9.980000E-02	  1.570795E+00
 -9.970000E-02	  1.570795E+00
 -9.960000E-02	  1.570795E+00
 -9.950000E-02	  1.570794E+00
 -9.940000E-02	  1.570794E+00
 -9.930000E-02	  1.570794E+00
 -9.920000E-02	  1.570794E+00
 -9.910000E-02	  1.570794E+00
 -9.900000E-02	  1.570794E+00
 -9.890000E-02	  1.570794E+00
 -9.880000E-02	  1.570794E+00
 -9.870000E-02	  1.570794E+00
 -9.860000E-02	  1.570794E+00
 -9.850000E-02	  1.570794E+00
 -9.840000E-02	  1.570794E+00
 -9.830000E-02	  1.570794E+00
 -9.820000E-02	  1.570794E+00
 -9.810000E-02	  1.570794E+00
 -9.800000E-02	  1.570794E+00
 -9.790000E-02	  1.570793E+00
 -9.780000E-02	  1.570793E+00
 -9.770000E-02	  1.570793E+00
 -9.760000E-02	  1.570793E+00
 -9.750000E-02	  1.570793E+00
 -9.740000E-02	  1.570793E+00
 -9.730000E-02	  1.570793E+00
 -9.720000E-02	  1.570793E+00
 -9.710000E-02	  1.570793E+00
 -9.700000E-02	  1.570793E+00
 -9.690000E-02	  1.570793E+00
 -9.680000E-02	  1.570793E+00
 -9.670000E-02	  1.570792E+00
 -9.660000E-02	  1.570792E+00
 -9.650000E-02	  1.570792E+00
 -9.640000E-02	  1.570792E+00
 -9.630000E-02	  1.570792E+00
