Listing of POP Phase Cross-Section Data

File : C:\Users\liyitong\Documents\Zemax\Autosave\Recovered\R_fu_05.zos
Title: 
Date : 2026/6/29


Phase X-Cross section surface 4 
Beam wavelength is 1.00000 µm in the media with index 1.00000 at 0.0000 (deg)
Center, Y = 0.0000E+00
Beam Width X = 1.19468E-01, Y = 1.19468E-01 Millimeters
Grid size (X by Y): 2048 by 2048


  X Coordinate	    Phase (rad)
 -1.023991E-01	  2.508595E+00
 -1.022991E-01	  2.590804E+00
 -1.021991E-01	  2.672941E+00
 -1.020991E-01	  2.755004E+00
 -1.019991E-01	  2.836994E+00
 -1.018991E-01	  2.918911E+00
 -1.017991E-01	  3.000754E+00
 -1.016991E-01	  3.082524E+00
 -1.015991E-01	 -3.118965E+00
 -1.014991E-01	 -3.037343E+00
 -1.013991E-01	 -2.955793E+00
 -1.012991E-01	 -2.874317E+00
 -1.011991E-01	 -2.792915E+00
 -1.010991E-01	 -2.711586E+00
 -1.009991E-01	 -2.630330E+00
 -1.008991E-01	 -2.549149E+00
 -1.007991E-01	 -2.468040E+00
 -1.006991E-01	 -2.387006E+00
 -1.005991E-01	 -2.306045E+00
 -1.004991E-01	 -2.225157E+00
 -1.003991E-01	 -2.144344E+00
 -1.002991E-01	 -2.063604E+00
 -1.001991E-01	 -1.982937E+00
 -1.000991E-01	 -1.902345E+00
 -9.999914E-02	 -1.821826E+00
 -9.989914E-02	 -1.741381E+00
 -9.979914E-02	 -1.661010E+00
 -9.969914E-02	 -1.580712E+00
 -9.959914E-02	 -1.500489E+00
 -9.949914E-02	 -1.420339E+00
 -9.939914E-02	 -1.340263E+00
 -9.929914E-02	 -1.260261E+00
 -9.919914E-02	 -1.180333E+00
 -9.909914E-02	 -1.100479E+00
 -9.899914E-02	 -1.020699E+00
 -9.889915E-02	 -9.409928E-01
 -9.879915E-02	 -8.613606E-01
 -9.869915E-02	 -7.818024E-01
 -9.859915E-02	 -7.023182E-01
 -9.849915E-02	 -6.229081E-01
 -9.839915E-02	 -5.435721E-01
 -9.829915E-02	 -4.643102E-01
 -9.819915E-02	 -3.851224E-01
 -9.809915E-02	 -3.060087E-01
 -9.799915E-02	 -2.269692E-01
 -9.789915E-02	 -1.480038E-01
 -9.779916E-02	 -6.911269E-02
 -9.769916E-02	  9.704239E-03
 -9.759916E-02	  8.844693E-02
 -9.749916E-02	  1.671154E-01
 -9.739916E-02	  2.457095E-01
 -9.729916E-02	  3.242294E-01
 -9.719916E-02	  4.026749E-01
 -9.709916E-02	  4.810462E-01
 -9.699916E-02	  5.593430E-01
 -9.689916E-02	  6.375655E-01
 -9.679916E-02	  7.157136E-01
 -9.669916E-02	  7.937873E-01
 -9.659917E-02	  8.717865E-01
 -9.649917E-02	  9.497113E-01
 -9.639917E-02	  1.027562E+00
 -9.629917E-02	  1.105337E+00
 -9.619917E-02	  1.183039E+00
 -9.609917E-02	  1.260665E+00
 -9.599917E-02	  1.338218E+00
 -9.589917E-02	  1.415695E+00
 -9.579917E-02	  1.493098E+00
 -9.569917E-02	  1.570427E+00
 -9.559917E-02	  1.647681E+00
 -9.549917E-02	  1.724860E+00
 -9.539918E-02	  1.801964E+00
 -9.529918E-02	  1.878994E+00
 -9.519918E-02	  1.955949E+00
 -9.509918E-02	  2.032829E+00
 -9.499918E-02	  2.109635E+00
 -9.489918E-02	  2.186366E+00
 -9.479918E-02	  2.263022E+00
 -9.469918E-02	  2.339603E+00
 -9.459918E-02	  2.416110E+00
 -9.449918E-02	  2.492541E+00
 -9.439918E-02	  2.568898E+00
 -9.429919E-02	  2.645180E+00
 -9.419919E-02	  2.721387E+00
 -9.409919E-02	  2.797519E+00
 -9.399919E-02	  2.873576E+00
 -9.389919E-02	  2.949558E+00
 -9.379919E-02	  3.025465E+00
 -9.369919E-02	  3.101297E+00
 -9.359919E-02	 -3.106131E+00
 -9.349919E-02	 -3.030449E+00
 -9.339919E-02	 -2.954842E+00
 -9.329919E-02	 -2.879310E+00
 -9.319919E-02	 -2.803853E+00
 -9.309920E-02	 -2.728472E+00
 -9.299920E-02	 -2.653165E+00
 -9.289920E-02	 -2.577934E+00
 -9.279920E-02	 -2.502777E+00
 -9.269920E-02	 -2.427696E+00
 -9.259920E-02	 -2.352690E+00
 -9.249920E-02	 -2.277760E+00
 -9.239920E-02	 -2.202904E+00
 -9.229920E-02	 -2.128124E+00
 -9.219920E-02	 -2.053420E+00
 -9.209920E-02	 -1.978790E+00
 -9.199921E-02	 -1.904236E+00
 -9.189921E-02	 -1.829757E+00
 -9.179921E-02	 -1.755353E+00
 -9.169921E-02	 -1.681025E+00
 -9.159921E-02	 -1.606773E+00
 -9.149921E-02	 -1.532595E+00
 -9.139921E-02	 -1.458493E+00
 -9.129921E-02	 -1.384467E+00
 -9.119921E-02	 -1.310516E+00
 -9.109921E-02	 -1.236641E+00
 -9.099921E-02	 -1.162841E+00
 -9.089921E-02	 -1.089116E+00
 -9.079922E-02	 -1.015467E+00
 -9.069922E-02	 -9.418940E-01
 -9.059922E-02	 -8.683962E-01
 -9.049922E-02	 -7.949741E-01
 -9.039922E-02	 -7.216276E-01
 -9.029922E-02	 -6.483567E-01
 -9.019922E-02	 -5.751615E-01
 -9.009922E-02	 -5.020420E-01
 -8.999922E-02	 -4.289982E-01
 -8.989922E-02	 -3.560300E-01
 -8.979922E-02	 -2.831376E-01
 -8.969923E-02	 -2.103210E-01
 -8.959923E-02	 -1.375801E-01
 -8.949923E-02	 -6.491502E-02
 -8.939923E-02	  7.674271E-03
 -8.929923E-02	  8.018774E-02
 -8.919923E-02	  1.526254E-01
 -8.909923E-02	  2.249871E-01
 -8.899923E-02	  2.972730E-01
 -8.889923E-02	  3.694830E-01
 -8.879923E-02	  4.416171E-01
 -8.869923E-02	  5.136753E-01
 -8.859923E-02	  5.856575E-01
 -8.849924E-02	  6.575637E-01
 -8.839924E-02	  7.293939E-01
 -8.829924E-02	  8.011482E-01
 -8.819924E-02	  8.728264E-01
 -8.809924E-02	  9.444286E-01
 -8.799924E-02	  1.015955E+00
 -8.789924E-02	  1.087405E+00
