x_mm,old_unwrapped_rad,new_unwrapped_rad,old_minus_new_rad,reference_candidate_rad,fitted_old_minus_new_rad,residual_rad
-5.120000000000000245e-02,2.427794000000000008e+00,1.565180600000000144e+00,8.626133999999998636e-01,-1.642804047383540933e+01,1.580735339686285990e+00,-2.118417214647116964e-06
-5.115000000000000102e-02,2.459780999999999995e+00,1.565179199999999993e+00,8.946018000000000026e-01,-1.639605337735404333e+01,1.580737063498197870e+00,-2.104591128149202461e-06
-5.109999999999999959e-02,2.491737000000000091e+00,1.565177800000000063e+00,9.265592000000000272e-01,-1.636409721000698525e+01,1.580738419183450372e+00,-2.160383700378076810e-06
-5.104999999999999816e-02,2.523661999999999850e+00,1.565176399999999912e+00,9.584855999999999376e-01,-1.633217197273386390e+01,1.580739408584801664e+00,-2.284855264655938356e-06
-5.099999999999999672e-02,2.555556999999999856e+00,1.565174999999999983e+00,9.903819999999998736e-01,-1.630027766647291543e+01,1.580740033564727476e+00,-1.477067546939991871e-06
-5.095000000000000223e-02,2.587419999999999831e+00,1.565173799999999948e+00,1.022246199999999883e+00,-1.626841429216097978e+01,1.580740296004878864e+00,-1.936083672715582793e-06
-5.090000000000000080e-02,2.619251999999999914e+00,1.565172599999999914e+00,1.054079400000000000e+00,-1.623658185073350779e+01,1.580740197805546199e+00,-2.460968146600350792e-06
-5.084999999999999937e-02,2.651053999999999800e+00,1.565171400000000101e+00,1.085882599999999698e+00,-1.620478034312803217e+01,1.580739740885129585e+00,-2.050783401985611931e-06
-5.079999999999999793e-02,2.682824999999999793e+00,1.565170200000000067e+00,1.117654799999999726e+00,-1.617300977027791475e+01,1.580738927179617503e+00,-1.704596038765160415e-06
-5.075000000000000344e-02,2.714564000000000199e+00,1.565169000000000032e+00,1.149395000000000167e+00,-1.614127013311649961e+01,1.580737758642070778e+00,-2.421472678815206336e-06
-5.070000000000000201e-02,2.746272999999999964e+00,1.565167600000000103e+00,1.181105399999999861e+00,-1.610956143257714857e+01,1.580736237242113429e+00,-2.000479916386410650e-06
-5.065000000000000058e-02,2.777950999999999837e+00,1.565166199999999952e+00,1.212784799999999885e+00,-1.607788366959181658e+01,1.580734364965429517e+00,-1.640685761694626876e-06
-5.059999999999999915e-02,2.809597999999999818e+00,1.565164800000000023e+00,1.244433199999999795e+00,-1.604623684509176584e+01,1.580732143813269097e+00,-1.341158915257878448e-06
-5.054999999999999771e-02,2.841213000000000211e+00,1.565163399999999871e+00,1.276049600000000339e+00,-1.601462096000685875e+01,1.580729575801956388e+00,-2.100969480167691472e-06
-5.050000000000000322e-02,2.872797999999999963e+00,1.565161999999999942e+00,1.307636000000000021e+00,-1.598303601526696305e+01,1.580726662962407492e+00,-1.919187545551537255e-06
-5.045000000000000179e-02,2.904351999999999823e+00,1.565160799999999908e+00,1.339191199999999915e+00,-1.595148201179985215e+01,1.580723407339653663e+00,-1.994885303169269264e-06
-5.040000000000000036e-02,2.935874999999999790e+00,1.565159599999999873e+00,1.370715399999999917e+00,-1.591995895053399757e+01,1.580719810992370356e+00,-2.127134243856687590e-06
-5.034999999999999892e-02,2.967368000000000006e+00,1.565158400000000061e+00,1.402209599999999945e+00,-1.588846683239577651e+01,1.580715875992412034e+00,-1.315007956970148939e-06
-5.029999999999999749e-02,2.998829000000000189e+00,1.565157200000000026e+00,1.433671800000000163e+00,-1.585700565831086806e+01,1.580711604424355432e+00,-1.557580718625217742e-06
-5.025000000000000300e-02,3.030259000000000036e+00,1.565155999999999992e+00,1.465103000000000044e+00,-1.582557542920425497e+01,1.580706998385045248e+00,-1.853927512840414238e-06
-5.020000000000000157e-02,3.061657999999999991e+00,1.565154799999999957e+00,1.496503200000000033e+00,-1.579417614600022546e+01,1.580702059983149610e+00,-2.203124014110713347e-06
-5.015000000000000013e-02,3.093027000000000193e+00,1.565153599999999923e+00,1.527873400000000270e+00,-1.576280780962236250e+01,1.580696791338718432e+00,-1.604246605113601731e-06
-5.009999999999999870e-02,3.124363999999999919e+00,1.565152400000000110e+00,1.559211599999999809e+00,-1.573147042099216542e+01,1.580691194582750647e+00,-2.056373743508643770e-06
-5.004999999999999727e-02,3.155670307179586409e+00,1.565151200000000076e+00,1.590519107179586333e+00,-1.570016398103182276e+01,1.580685271856763663e+00,-2.251403619535352618e-06
-5.000000000000000278e-02,3.186946307179586046e+00,1.565150000000000041e+00,1.621796307179586005e+00,-1.566888849066143763e+01,1.580679025312372810e+00,-1.802775266401823728e-06
-4.995000000000000134e-02,3.218190307179586096e+00,1.565148600000000112e+00,1.653041707179585984e+00,-1.563764395080180414e+01,1.580672457110872564e+00,-2.202388265981625182e-06
-4.989999999999999991e-02,3.249404307179586393e+00,1.565147199999999961e+00,1.684257107179586432e+00,-1.560643036237093106e+01,1.580665569422827099e+00,-1.649324576025179567e-06
-4.984999999999999848e-02,3.280587307179586354e+00,1.565145800000000031e+00,1.715441507179586322e+00,-1.557524772628682541e+01,1.580658364427663276e+00,-1.142666146147774953e-06
-4.979999999999999705e-02,3.311738307179586283e+00,1.565144399999999880e+00,1.746593907179586402e+00,-1.554409604346749418e+01,1.580650844313271408e+00,-1.681494935290572812e-06
-4.975000000000000255e-02,3.342859307179586015e+00,1.565142999999999951e+00,1.777716307179586064e+00,-1.551297531482815373e+01,1.580643011275611354e+00,-1.264895690855638577e-06
-4.970000000000000112e-02,3.373949307179586299e+00,1.565141799999999916e+00,1.808807507179586382e+00,-1.548188554128402217e+01,1.580634867518322606e+00,-1.091953160115011201e-06
-4.964999999999999969e-02,3.405008307179586247e+00,1.565140599999999882e+00,1.839867707179586365e+00,-1.545082672375101041e+01,1.580626415252341266e+00,-9.617513891946316562e-07
