x_mm,wrapped_rad,unwrapped_rad,poly4_fit_rad,poly4_residual_rad,poly6_fit_rad,poly6_residual_rad,higher_model_fit_rad,higher_model_residual_rad
-2.560000000000000053e-01,1.580754999999999910e+00,1.580754999999999910e+00,1.582130049541361716e+00,-1.375049541361805794e-03,1.581195692943212716e+00,-4.406929432128059432e-04,1.586064833662094609e+00,-5.309833662094698425e-03
-2.557499999999999774e-01,1.580754999999999910e+00,1.580754999999999910e+00,1.582097628942417789e+00,-1.342628942417878335e-03,1.581182400124790499e+00,-4.274001247905889755e-04,1.585983240706604347e+00,-5.228240706604436738e-03
-2.555000000000000049e-01,1.580754999999999910e+00,1.580754999999999910e+00,1.582065231025638452e+00,-1.310231025638541880e-03,1.581168943327849963e+00,-4.139433278500526114e-04,1.585901927903126785e+00,-5.146927903126874426e-03
-2.552499999999999769e-01,1.580753999999999992e+00,1.580753999999999992e+00,1.582032855817351535e+00,-1.278855817351542967e-03,1.581155323672593482e+00,-4.013236725934898885e-04,1.585820894456261509e+00,-5.066894456261517021e-03
-2.550000000000000044e-01,1.580753000000000075e+00,1.580753000000000075e+00,1.582000503343860220e+00,-1.247503343860145719e-03,1.581141542275188661e+00,-3.885422751885858617e-04,1.585740139572757945e+00,-4.987139572757870454e-03
-2.547499999999999765e-01,1.580751999999999935e+00,1.580751999999999935e+00,1.581968173631441488e+00,-1.216173631441552772e-03,1.581127600247776543e+00,-3.756002477766084979e-04,1.585659662461507136e+00,-4.907662461507200646e-03
-2.545000000000000040e-01,1.580750000000000099e+00,1.580750000000000099e+00,1.581935866706346339e+00,-1.185866706346239141e-03,1.581113498698479836e+00,-3.634986984797361487e-04,1.585579462333535972e+00,-4.829462333535872176e-03
-2.542499999999999760e-01,1.580748999999999960e+00,1.580748999999999960e+00,1.581903582594800683e+00,-1.154582594800723783e-03,1.581099238731412449e+00,-3.502387314124888462e-04,1.585499538401998088e+00,-4.750538401998127824e-03
-2.540000000000000036e-01,1.580745999999999984e+00,1.580745999999999984e+00,1.581871321323004231e+00,-1.125321323004246921e-03,1.581084821446687272e+00,-3.388214466872874198e-04,1.585419889882168087e+00,-4.673889882168102972e-03
-2.537499999999999756e-01,1.580743999999999927e+00,1.580743999999999927e+00,1.581839082917131822e+00,-1.095082917131895428e-03,1.581070247940425499e+00,-3.262479404255724802e-04,1.585340515991432886e+00,-4.596515991432958970e-03
-2.535000000000000031e-01,1.580740999999999952e+00,1.580740999999999952e+00,1.581806867403331429e+00,-1.065867403331477448e-03,1.581055519304764179e+00,-3.145193047642269590e-04,1.585261415949285935e+00,-4.520415949285983004e-03
-2.532499999999999751e-01,1.580737999999999976e+00,1.580737999999999976e+00,1.581774674807726377e+00,-1.036674807726400971e-03,1.581040636627865759e+00,-3.026366278657821596e-04,1.585182588977319895e+00,-4.444588977319918754e-03
-2.530000000000000027e-01,1.580735000000000001e+00,1.580735000000000001e+00,1.581742505156413792e+00,-1.007505156413790459e-03,1.581025600993926084e+00,-2.906009939260822961e-04,1.585104034299219089e+00,-4.369034299219087814e-03
-2.527499999999999747e-01,1.580731000000000108e+00,1.580731000000000108e+00,1.581710358475465261e+00,-9.793584754651529778e-04,1.581010413483183941e+00,-2.794134831838324118e-04,1.585025751140752170e+00,-4.294751140752062213e-03
-2.525000000000000022e-01,1.580727999999999911e+00,1.580727999999999911e+00,1.581678234790926618e+00,-9.502347909267072623e-04,1.580995075171927500e+00,-2.670751719275887837e-04,1.584947738729765465e+00,-4.219738729765554197e-03
-2.522499999999999742e-01,1.580723000000000100e+00,1.580723000000000100e+00,1.581646134128817938e+00,-9.231341288178374072e-04,1.580979587132505637e+00,-2.565871325055368857e-04,1.584869996296176087e+00,-4.146996296175986529e-03
-2.520000000000000018e-01,1.580718999999999985e+00,1.580718999999999985e+00,1.581614056515133759e+00,-8.950565151337741554e-04,1.580963950433333931e+00,-2.449504333339458384e-04,1.584792523071965942e+00,-4.073523071965956532e-03
-2.517499999999999738e-01,1.580713999999999952e+00,1.580713999999999952e+00,1.581582001975843088e+00,-8.680019758431356536e-04,1.580948166138904654e+00,-2.341661389047011710e-04,1.584715318291171959e+00,-4.001318291172006880e-03
-2.515000000000000013e-01,1.580708999999999920e+00,1.580708999999999920e+00,1.581549970536888949e+00,-8.409705368890296739e-04,1.580932235309795431e+00,-2.232353097955108723e-04,1.584638381189881873e+00,-3.929381189881953063e-03
-2.512499999999999734e-01,1.580704000000000109e+00,1.580704000000000109e+00,1.581517962224188611e+00,-8.139622241885025034e-04,1.580916159002676569e+00,-2.121590026764597070e-04,1.584561711006226226e+00,-3.857711006226116623e-03
-2.510000000000000009e-01,1.580697999999999936e+00,1.580697999999999936e+00,1.581485977063633808e+00,-7.879770636338712109e-04,1.580899938270320160e+00,-2.019382703202232676e-04,1.584485306980371933e+00,-3.787306980371996090e-03
-2.507499999999999729e-01,1.580691999999999986e+00,1.580691999999999986e+00,1.581454015081090958e+00,-7.620150810909720462e-04,1.580883574161609628e+00,-1.915741616096422462e-04,1.584409168354514952e+00,-3.717168354514965856e-03
-2.505000000000000004e-01,1.580686000000000035e+00,1.580686000000000035e+00,1.581422076302400281e+00,-7.360763024002459076e-04,1.580867067721545949e+00,-1.810677215459133294e-04,1.584333294372874068e+00,-3.647294372874032575e-03
-2.502499999999999725e-01,1.580680000000000085e+00,1.580680000000000085e+00,1.581390160753376461e+00,-7.101607533763765190e-04,1.580850419991258526e+00,-1.704199912584414278e-04,1.584257684281683565e+00,-3.577684281683479739e-03
-2.500000000000000000e-01,1.580672999999999995e+00,1.580672999999999995e+00,1.581358268459808647e+00,-6.852684598086522527e-04,1.580833632008011636e+00,-1.606320080116407922e-04,1.584182337329187229e+00,-3.509337329187234289e-03
-2.497499999999999998e-01,1.580665999999999904e+00,1.580665999999999904e+00,1.581326399447459785e+00,-6.603994474598806619e-04,1.580816704805214412e+00,-1.507048052145076866e-04,1.584107252765631024e+00,-3.441252765631119814e-03
-2.494999999999999996e-01,1.580659000000000036e+00,1.580659000000000036e+00,1.581294553742067954e+00,-6.355537420679180372e-04,1.580799639412428625e+00,-1.406394124285892389e-04,1.584032429843255985e+00,-3.373429843255948413e-03
-2.492499999999999993e-01,1.580651000000000028e+00,1.580651000000000028e+00,1.581262731369344809e+00,-6.117313693447812284e-04,1.580782436855376893e+00,-1.314368553768652248e-04,1.583957867816293108e+00,-3.306867816293079798e-03
-2.489999999999999991e-01,1.580643000000000020e+00,1.580643000000000020e+00,1.581230932354976915e+00,-5.879323549768944446e-04,1.580765098155951343e+00,-1.220981559513223402e-04,1.583883565940955807e+00,-3.240565940955786317e-03
-2.487499999999999989e-01,1.580635000000000012e+00,1.580635000000000012e+00,1.581199156724624855e+00,-5.641567246248424539e-04,1.580747624332222712e+00,-1.126243322226994081e-04,1.583809523475433245e+00,-3.174523475433232989e-03
-2.484999999999999987e-01,1.580627000000000004e+00,1.580627000000000004e+00,1.581167404503923235e+00,-5.404045039232308056e-04,1.580730016398447457e+00,-1.030163984474530281e-04,1.583735739679883681e+00,-3.108739679883676388e-03
-2.482499999999999984e-01,1.580618000000000078e+00,1.580618000000000078e+00,1.581135675718481570e+00,-5.176757184814917423e-04,1.580712275365077080e+00,-9.427536507700118307e-05,1.583662213816428688e+00,-3.044213816428609221e-03
-2.479999999999999982e-01,1.580608999999999931e+00,1.580608999999999931e+00,1.581103970393883174e+00,-4.949703938832428207e-04,1.580694402238766560e+00,-8.540223876662977887e-05,1.583588945149146276e+00,-2.979945149146345784e-03
-2.477499999999999980e-01,1.580600000000000005e+00,1.580600000000000005e+00,1.581072288555686045e+00,-4.722885556860401124e-04,1.580676398022382134e+00,-7.639802238212922703e-05,1.583515932944063564e+00,-2.915932944063559518e-03
-2.474999999999999978e-01,1.580591000000000079e+00,1.580591000000000079e+00,1.581040630229422428e+00,-4.496302294223486484e-04,1.580658263715010170e+00,-6.726371501009076326e-05,1.583443176469152114e+00,-2.852176469152034599e-03
-2.472499999999999976e-01,1.580581000000000014e+00,1.580581000000000014e+00,1.581008995440598808e+00,-4.279954405987940191e-04,1.580640000311965387e+00,-5.900031196537369738e-05,1.583370674994319938e+00,-2.789674994319923940e-03
-2.469999999999999973e-01,1.580570999999999948e+00,1.580570999999999948e+00,1.580977384214695913e+00,-4.063842146959650847e-04,1.580621608804799072e+00,-5.060880479912377439e-05,1.583298427791406171e+00,-2.727427791406222823e-03
-2.467499999999999971e-01,1.580561000000000105e+00,1.580561000000000105e+00,1.580945796577168716e+00,-3.847965771686112646e-04,1.580603090181307957e+00,-4.209018130785224798e-05,1.583226434134174188e+00,-2.665434134174082814e-03
-2.464999999999999969e-01,1.580549999999999899e+00,1.580549999999999899e+00,1.580914232553446874e+00,-3.642325534469748050e-04,1.580584445425541995e+00,-3.444542554209562013e-05,1.583154693298305160e+00,-2.604693298305260640e-03
-2.462499999999999967e-01,1.580538999999999916e+00,1.580538999999999916e+00,1.580882692168934289e+00,-3.436921689343730435e-04,1.580565675517813018e+00,-2.667551781310173453e-05,1.583083204561392732e+00,-2.544204561392815478e-03
-2.459999999999999964e-01,1.580527999999999933e+00,1.580527999999999933e+00,1.580851175449008661e+00,-3.231754490087279663e-04,1.580546781434702730e+00,-1.878143470279702854e-05,1.583011967202935910e+00,-2.483967202935977170e-03
-2.457499999999999962e-01,1.580516999999999950e+00,1.580516999999999950e+00,1.580819682419022376e+00,-3.026824190224264299e-04,1.580527764149071368e+00,-1.076414907141831634e-05,1.582940980504331963e+00,-2.423980504332012842e-03
-2.454999999999999960e-01,1.580505000000000049e+00,1.580505000000000049e+00,1.580788213104302509e+00,-2.832131043024599393e-04,1.580508624630066139e+00,-3.624630066090261948e-06,1.582870243748872419e+00,-2.365243748872369878e-03
