x_mm,ref3_rad,ref2_interp_rad,ref3_minus_ref2_rad,spherical_delta_model_rad,spherical_fit_rad,spherical_residual_rad,sag_delta_model_rad,sag_fit_rad,sag_residual_rad
-1.024000000000000049e-01,2.876700000000000035e+00,1.567193400000000070e+00,1.309506599999999965e+00,1.305547073814679493e+00,1.309512039581142817e+00,-5.439581142852034645e-06,-1.392173877351865485e+00,1.328601302544576424e+00,-1.909470254457645844e-02
-1.023000000000000020e-01,2.874228000000000005e+00,1.567187800000000131e+00,1.307040199999999874e+00,1.303077012674066282e+00,1.307045624958324881e+00,-5.424958325006556947e-06,-1.389365474971640424e+00,1.325947662598991661e+00,-1.890746259899178661e-02
-1.021999999999999992e-01,2.871757999999999811e+00,1.567182400000000086e+00,1.304575599999999724e+00,1.300609068368288490e+00,1.304581324045294366e+00,-5.724045294641655346e-06,-1.386560183695820569e+00,1.323296962344701511e+00,-1.872136234470178628e-02
-1.020999999999999963e-01,2.869291000000000036e+00,1.567177199999999937e+00,1.302113800000000099e+00,1.298143241709297513e+00,1.302119137652804293e+00,-5.337652804193737666e-06,-1.383758002367130757e+00,1.320649200688193803e+00,-1.853540068819370390e-02
-1.019999999999999934e-01,2.866824999999999957e+00,1.567172000000000009e+00,1.299652999999999947e+00,1.295679533504213055e+00,1.299659066586782430e+00,-6.066586782482730200e-06,-1.380958929831095361e+00,1.318004376538600919e+00,-1.835137653860097195e-02
-1.019000000000000045e-01,2.864361999999999853e+00,1.567166800000000082e+00,1.297195199999999771e+00,1.293217944565697053e+00,1.297201111658691230e+00,-5.911658691459820147e-06,-1.378162964933565604e+00,1.315362488805364771e+00,-1.816728880536500057e-02
-1.018000000000000016e-01,2.861901000000000028e+00,1.567161599999999932e+00,1.294739400000000096e+00,1.290758475699433916e+00,1.294745273673025832e+00,-5.873673025735826059e-06,-1.375370106522524338e+00,1.312723536399940993e+00,-1.798413639994089763e-02
-1.016999999999999987e-01,2.859442000000000039e+00,1.567156400000000005e+00,1.292285600000000034e+00,1.288301127715342886e+00,1.292291553438509322e+00,-5.953438509287423130e-06,-1.372580353447645507e+00,1.310087518235383275e+00,-1.780191823538324059e-02
-1.015999999999999959e-01,2.856984999999999886e+00,1.567151199999999855e+00,1.289833800000000030e+00,1.285845901420472615e+00,1.289839951760999526e+00,-6.151760999495436977e-06,-1.369793704560024139e+00,1.307454433226088231e+00,-1.762063322608820037e-02
-1.015000000000000069e-01,2.854530000000000012e+00,1.567145999999999928e+00,1.287384000000000084e+00,1.283392797621942805e+00,1.287390469446423991e+00,-6.469446423906788368e-06,-1.367010158711835288e+00,1.304824280287472327e+00,-1.744028028747224290e-02
