x_mm,unwrapped_rad,sphere_fit_rad,sphere_residual_rad
-5.120000000000000245e-02,2.427794000000000008e+00,2.417937091280549566e+00,9.856908719450441225e-03
-5.115000000000000102e-02,2.459780999999999995e+00,2.450020302339499523e+00,9.760697660500472495e-03
-5.109999999999999959e-02,2.491737000000000091e+00,2.482072163310613533e+00,9.664836689386557822e-03
-5.104999999999999816e-02,2.523661999999999850e+00,2.514092674193893373e+00,9.569325806106476762e-03
-5.099999999999999672e-02,2.555556999999999856e+00,2.546081834989335491e+00,9.475165010664365894e-03
-5.095000000000000223e-02,2.587419999999999831e+00,2.578039645696945215e+00,9.380354303054616594e-03
-5.090000000000000080e-02,2.619251999999999914e+00,2.609966106421561349e+00,9.285893578438564333e-03
-5.084999999999999937e-02,2.651053999999999800e+00,2.641861217058341538e+00,9.192782941658261819e-03
-5.079999999999999793e-02,2.682824999999999793e+00,2.673724977712126361e+00,9.100022287873432703e-03
-5.075000000000000344e-02,2.714564000000000199e+00,2.705557388382917594e+00,9.006611617082604937e-03
-5.070000000000000201e-02,2.746272999999999964e+00,2.737358448965872881e+00,8.914551034127082829e-03
-5.065000000000000058e-02,2.777950999999999837e+00,2.769128159618253093e+00,8.822840381746743788e-03
-5.059999999999999915e-02,2.809597999999999818e+00,2.800866520235219426e+00,8.731479764780392117e-03
-5.054999999999999771e-02,2.841213000000000211e+00,2.832573530921610683e+00,8.639469078389527823e-03
-5.050000000000000322e-02,2.872797999999999963e+00,2.864249191625008351e+00,8.548808374991612169e-03
-5.045000000000000179e-02,2.904351999999999823e+00,2.895893502397829167e+00,8.458497602170655938e-03
-5.040000000000000036e-02,2.935874999999999790e+00,2.927506463240076684e+00,8.368536759923106416e-03
-5.034999999999999892e-02,2.967368000000000006e+00,2.959088074151749126e+00,8.279925848250879739e-03
-5.029999999999999749e-02,2.998829000000000189e+00,2.990638335080426202e+00,8.190664919573986680e-03
-5.025000000000000300e-02,3.030259000000000036e+00,3.022157246183370560e+00,8.101753816629475580e-03
-5.020000000000000157e-02,3.061657999999999991e+00,3.053644807303317776e+00,8.013192696682214233e-03
-5.015000000000000013e-02,3.093027000000000193e+00,3.085101018597528721e+00,7.925981402471471426e-03
-5.009999999999999870e-02,3.124363999999999919e+00,3.116525880013586658e+00,7.838119986413261131e-03
-5.004999999999999727e-02,3.155670307179586409e+00,3.147919391499071295e+00,7.750915680515113593e-03
-5.000000000000000278e-02,3.186946307179586046e+00,3.179281553211241729e+00,7.664753968344317769e-03
-4.995000000000000134e-02,3.218190307179586096e+00,3.210612364992837087e+00,7.577942186749009323e-03
-4.989999999999999991e-02,3.249404307179586393e+00,3.241911827001116464e+00,7.492480178469929086e-03
-4.984999999999999848e-02,3.280587307179586354e+00,3.273179939131242833e+00,7.407368048343521139e-03
-4.979999999999999705e-02,3.311738307179586283e+00,3.304416701488053221e+00,7.321605691533061844e-03
-4.975000000000000255e-02,3.342859307179586015e+00,3.335622114019130890e+00,7.237193160455124286e-03
-4.970000000000000112e-02,3.373949307179586299e+00,3.366796176724472289e+00,7.153130455114009578e-03
-4.964999999999999969e-02,3.405008307179586247e+00,3.397938889708921550e+00,7.069417470664696168e-03
-4.959999999999999826e-02,3.436036307179586302e+00,3.429050252867634541e+00,6.986054311951761520e-03
-4.954999999999999682e-02,3.467032307179586326e+00,3.460130266253033327e+00,6.902040926552999167e-03
