x_mm,wrapped_rad,unwrapped_rad,quadratic_fit_rad,quadratic_residual_rad,quartic_fit_rad,quartic_residual_rad
-5.120000000000000245e-02,2.427794000000000008e+00,2.427794000000000008e+00,2.418025474978463762e+00,9.768525021536245134e-03,2.427809029236946969e+00,-1.502923694696178814e-05
-5.115000000000000102e-02,2.459780999999999995e+00,2.459780999999999995e+00,2.450107735359079442e+00,9.673264640920553603e-03,2.459795830717826703e+00,-1.483071782670819516e-05
-5.109999999999999959e-02,2.491737000000000091e+00,2.491737000000000091e+00,2.482158650088141627e+00,9.578349911858463628e-03,2.491751706072236061e+00,-1.470607223597042434e-05
-5.104999999999999816e-02,2.523661999999999850e+00,2.523661999999999850e+00,2.514178219165629002e+00,9.483780834370847401e-03,2.523676654343418591e+00,-1.465434341874072288e-05
-5.099999999999999672e-02,2.555556999999999856e+00,2.555556999999999856e+00,2.546166442591562884e+00,9.390557408436972509e-03,2.555570674575612600e+00,-1.367457561274321165e-05
-5.095000000000000223e-02,2.587419999999999831e+00,2.587419999999999831e+00,2.578123320365921955e+00,9.296679634077875676e-03,2.587433765813937470e+00,-1.376581393763842698e-05
-5.090000000000000080e-02,2.619251999999999914e+00,2.619251999999999914e+00,2.610048852488720428e+00,9.203147511279485826e-03,2.619265927104478919e+00,-1.392710447900569193e-05
-5.084999999999999937e-02,2.651053999999999800e+00,2.651053999999999800e+00,2.641943038959965406e+00,9.110961040034393221e-03,2.651067157494260584e+00,-1.315749426078482998e-05
-5.079999999999999793e-02,2.682824999999999793e+00,2.682824999999999793e+00,2.673805879779639127e+00,9.019120220360665741e-03,2.682837456031215595e+00,-1.245603121580174388e-05
-5.075000000000000344e-02,2.714564000000000199e+00,2.714564000000000199e+00,2.705637374947745144e+00,8.926625052255054982e-03,2.714576821764236314e+00,-1.282176423611502969e-05
-5.070000000000000201e-02,2.746272999999999964e+00,2.746272999999999964e+00,2.737437524464301219e+00,8.835475535698744665e-03,2.746285253743156574e+00,-1.225374315660943125e-05
-5.065000000000000058e-02,2.777950999999999837e+00,2.777950999999999837e+00,2.769206328329282485e+00,8.744671670717352185e-03,2.777962751018712595e+00,-1.175101871275785470e-05
-5.059999999999999915e-02,2.809597999999999818e+00,2.809597999999999818e+00,2.800943786542706704e+00,8.654213457293113976e-03,2.809609312642614043e+00,-1.131264261422515460e-05
-5.054999999999999771e-02,2.841213000000000211e+00,2.841213000000000211e+00,2.832649899104563218e+00,8.563100895436992488e-03,2.841224937667472972e+00,-1.193766747276114870e-05
-5.050000000000000322e-02,2.872797999999999963e+00,2.872797999999999963e+00,2.864324666014853804e+00,8.473333985146158653e-03,2.872809625146862444e+00,-1.162514686248172779e-05
-5.045000000000000179e-02,2.904351999999999823e+00,2.904351999999999823e+00,2.895968087273592673e+00,8.383912726407150018e-03,2.904363374135289888e+00,-1.137413529006536805e-05
-5.040000000000000036e-02,2.935874999999999790e+00,2.935874999999999790e+00,2.927580162880756731e+00,8.294837119243059220e-03,2.935886183688168671e+00,-1.118368816888093420e-05
-5.034999999999999892e-02,2.967368000000000006e+00,2.967368000000000006e+00,2.959160892836367296e+00,8.207107163632709756e-03,2.967378052861898041e+00,-1.005286189803555885e-05
-5.029999999999999749e-02,2.998829000000000189e+00,2.998829000000000189e+00,2.990710277140406603e+00,8.118722859593585639e-03,2.998838980713752989e+00,-9.980713752799630356e-06
-5.025000000000000300e-02,3.030259000000000036e+00,3.030259000000000036e+00,3.022228315792879982e+00,8.030684207120053486e-03,3.030268966301997935e+00,-9.966301997899051912e-06
-5.020000000000000157e-02,3.061657999999999991e+00,3.061657999999999991e+00,3.053715008793799868e+00,7.942991206200122889e-03,3.061668008685810349e+00,-1.000868581035874172e-05
-5.015000000000000013e-02,3.093027000000000193e+00,3.093027000000000193e+00,3.085170356143146719e+00,7.856643856853473551e-03,3.093036106925287854e+00,-9.106925287660772028e-06
-5.009999999999999870e-02,3.124363999999999919e+00,3.124363999999999919e+00,3.116594357840941854e+00,7.769642159058065545e-03,3.124373260081501513e+00,-9.260081501594186193e-06
-5.004999999999999727e-02,-3.127514999999999823e+00,3.155670307179586409e+00,3.147987013887162178e+00,7.683293292424231424e-03,3.155679467216414125e+00,-9.160036827715600793e-06
-5.000000000000000278e-02,-3.096239000000000186e+00,3.186946307179586046e+00,3.179348324281820126e+00,7.597982897765920285e-03,3.186954727392956599e+00,-8.420213370552431797e-06
-4.995000000000000134e-02,-3.064995000000000136e+00,3.218190307179586096e+00,3.210678289024924581e+00,7.512018154661515013e-03,3.218199039674994211e+00,-8.732495408114715474e-06
-4.989999999999999991e-02,-3.033780999999999839e+00,3.249404307179586393e+00,3.241976908116456002e+00,7.427399063130390999e-03,3.249412403127299953e+00,-8.095947713560036618e-06
-4.984999999999999848e-02,-3.002597999999999878e+00,3.280587307179586354e+00,3.273244181556430377e+00,7.343125623155977166e-03,3.280594816815620263e+00,-7.509636033908861918e-06
-4.979999999999999705e-02,-2.971446999999999949e+00,3.311738307179586283e+00,3.304480109344835270e+00,7.258197834751012323e-03,3.311746279806602189e+00,-7.972627015906397219e-06
